# cx cy cz
5.000000 -5.000000 0.000000
5.008194 -4.774551 0.000000
5.014618 -4.549133 0.000000
5.019318 -4.323746 0.000000
5.022415 -4.098404 0.000000
5.023926 -3.873138 0.000000
5.023956 -3.647934 0.000000
5.022583 -3.422806 0.000000
5.019867 -3.197784 0.000000
5.015915 -2.972855 0.000000
5.010757 -2.748062 0.000000
5.004517 -2.523376 0.000000
4.997238 -2.298843 0.000000
4.988998 -2.074463 0.000000
4.979889 -1.850250 0.000000
4.969986 -1.626205 0.000000
4.959320 -1.402344 0.000000
4.948044 -1.178680 0.000000
4.936172 -0.955231 0.000000
4.923828 -0.732010 0.000000
4.911057 -0.509003 0.000000
4.897934 -0.286255 0.000000
4.884552 -0.063766 0.000000
4.870972 0.158463 0.000000
4.857285 0.380402 0.000000
4.843582 0.602066 0.000000
4.829865 0.823425 0.000000
4.816330 1.044479 0.000000
4.802948 1.265198 0.000000
4.789856 1.485596 0.000000
4.777084 1.705643 0.000000
4.764786 1.925323 0.000000
4.752930 2.144638 0.000000
4.741714 2.363571 0.000000
4.731110 2.582108 0.000000
4.721283 2.800247 0.000000
4.712219 3.017975 0.000000
4.704102 3.235275 0.000000
4.696899 3.452133 0.000000
4.690796 3.668549 0.000000
4.685760 3.884506 0.000000
4.681976 4.099976 0.000000
4.679398 4.314987 0.000000
4.678268 4.529495 0.000000
4.678482 4.743484 0.000000
4.680298 4.956970 0.000000
4.683624 5.169937 0.000000
4.688705 5.382355 0.000000
4.695435 5.594223 0.000000
4.704086 5.805542 0.000000
