# cx cy cz
5.000000 -5.000000 0.000000
5.020432 -4.774551 0.000000
5.039047 -4.549133 0.000000
5.055832 -4.323746 0.000000
5.070786 -4.098404 0.000000
5.083908 -3.873138 0.000000
5.095169 -3.647934 0.000000
5.104630 -3.422806 0.000000
5.112228 -3.197784 0.000000
5.118027 -2.972855 0.000000
5.121964 -2.748062 0.000000
5.124100 -2.523376 0.000000
5.124390 -2.298843 0.000000
5.122864 -2.074463 0.000000
5.119492 -1.850250 0.000000
5.114304 -1.626205 0.000000
5.107285 -1.402344 0.000000
5.098465 -1.178680 0.000000
5.087799 -0.955231 0.000000
5.075317 -0.732010 0.000000
5.061035 -0.509003 0.000000
5.044907 -0.286255 0.000000
5.026993 -0.063766 0.000000
5.007233 0.158463 0.000000
4.985687 0.380402 0.000000
4.962326 0.602066 0.000000
4.937149 0.823425 0.000000
4.910172 1.044479 0.000000
4.881393 1.265198 0.000000
4.850800 1.485596 0.000000
4.818420 1.705643 0.000000
4.784225 1.925323 0.000000
4.748230 2.144638 0.000000
4.710464 2.363571 0.000000
4.670914 2.582108 0.000000
4.629547 2.800247 0.000000
4.586395 3.017975 0.000000
4.541473 3.235275 0.000000
4.494766 3.452133 0.000000
4.446289 3.668549 0.000000
4.396027 3.884506 0.000000
4.343994 4.099976 0.000000
4.290176 4.314987 0.000000
4.234619 4.529495 0.000000
4.177277 4.743484 0.000000
4.118195 4.956970 0.000000
4.057343 5.169937 0.000000
3.994736 5.382355 0.000000
3.930374 5.594223 0.000000
3.864273 5.805542 0.000000
